replication,converged,em_iter,time_sec,parameter,true,estimate,bias,sq_error
1,0,40,46.22430699999677,pi,0.4,0.999105717095232,0.599105717095232,0.3589276602561921
1,0,40,46.22430699999677,alpha_2_k1,0.3,-699633.8955656401,-699634.1955656401,489488007604.78033
1,0,40,46.22430699999677,alpha_2_k2,0.1,-2800.702596521051,-2800.802596521051,7844495.18467906
1,0,40,46.22430699999677,gamma_k1,0.5,0.7338985152489861,0.23389851524898608,0.05470851543568018
1,0,40,46.22430699999677,gamma_k2,0.8,4.4615935778205165,3.6615935778205166,13.407267529136451
1,0,40,46.22430699999677,beta_sc_12_k1,0.55,3778877.0645874664,3778876.5145874666,14279907712500.719
1,0,40,46.22430699999677,beta_sc_12_k2,0.2,71.74418039682934,71.54418039682933,5118.5697486540585
1,0,40,46.22430699999677,beta_sc_21_k1,0.5,-7905.170568982638,-7905.670568982638,62499627.14527826
1,0,40,46.22430699999677,beta_sc_21_k2,0.15,99.92122882578988,99.77122882578988,9954.298101408125
1,0,40,46.22430699999677,beta_dep_1_k1,0.25,0.35518186969957055,0.10518186969957055,0.011063225713497438
1,0,40,46.22430699999677,beta_dep_1_k2,0.4,2.941235263390957,2.541235263390957,6.457876663901707
1,0,40,46.22430699999677,beta_dep_2_k1,0.25,-0.6058205913924002,-0.8558205913924002,0.7324288846512376
1,0,40,46.22430699999677,beta_dep_2_k2,0.4,-2.9090269863944505,-3.3090269863944504,10.949659596686738
2,0,40,34.646896333026234,pi,0.4,0.9930000002567212,0.5930000002567212,0.3516490003044713
2,0,40,34.646896333026234,alpha_2_k1,0.3,16.56326855437559,16.26326855437559,264.49390407174184
2,0,40,34.646896333026234,alpha_2_k2,0.1,4.905466259112431,4.805466259112431,23.09250596746802
2,0,40,34.646896333026234,gamma_k1,0.5,0.7701398645243257,0.2701398645243257,0.07297554640522104
2,0,40,34.646896333026234,gamma_k2,0.8,1.0153384595531758,0.21533845955317577,0.04637065216273471
2,0,40,34.646896333026234,beta_sc_12_k1,0.55,90.13764847881123,89.58764847881123,8025.946759963049
2,0,40,34.646896333026234,beta_sc_12_k2,0.2,66.19403720708874,65.99403720708874,4355.212946890612
2,0,40,34.646896333026234,beta_sc_21_k1,0.5,-196.54303207070262,-197.04303207070262,38825.95648761594
2,0,40,34.646896333026234,beta_sc_21_k2,0.15,-46.56141669316662,-46.71141669316662,2181.956449482645
2,0,40,34.646896333026234,beta_dep_1_k1,0.25,0.2997629074316737,0.04976290743167372,0.0024763469560533276
2,0,40,34.646896333026234,beta_dep_1_k2,0.4,0.4033327909464948,0.0033327909464948013,1.1107495493037714e-05
2,0,40,34.646896333026234,beta_dep_2_k1,0.25,0.23089205840469726,-0.01910794159530274,0.0003651134320095007
2,0,40,34.646896333026234,beta_dep_2_k2,0.4,0.2405915646741945,-0.1594084353258055,0.02541104925302152
3,0,40,38.26667187502608,pi,0.4,0.999,0.599,0.358801
3,0,40,38.26667187502608,alpha_2_k1,0.3,135.98864807521545,135.68864807521544,18411.409216479668
3,0,40,38.26667187502608,alpha_2_k2,0.1,1061.2270549031073,1061.1270549031074,1125990.6266473422
3,0,40,38.26667187502608,gamma_k1,0.5,0.7098436675269687,0.2098436675269687,0.04403436480116898
3,0,40,38.26667187502608,gamma_k2,0.8,1.3226775854822708,0.5226775854822707,0.2731918583655764
3,0,40,38.26667187502608,beta_sc_12_k1,0.55,10.468533568001464,9.918533568001463,98.37730813957182
3,0,40,38.26667187502608,beta_sc_12_k2,0.2,-0.43312868923401404,-0.633128689234014,0.40085193713118067
3,0,40,38.26667187502608,beta_sc_21_k1,0.5,-3.1757168094090367,-3.6757168094090367,13.510894062972149
3,0,40,38.26667187502608,beta_sc_21_k2,0.15,0.30698663402781784,0.15698663402781785,0.024644803263384016
3,0,40,38.26667187502608,beta_dep_1_k1,0.25,0.26167903219021243,0.011679032190212435,0.00013639979290001826
3,0,40,38.26667187502608,beta_dep_1_k2,0.4,0.061700994414724694,-0.3382990055852753,0.11444621717998614
3,0,40,38.26667187502608,beta_dep_2_k1,0.25,0.23626073797166985,-0.013739262028330146,0.00018876732108311458
3,0,40,38.26667187502608,beta_dep_2_k2,0.4,0.7193467056517362,0.3193467056517362,0.10198231841061663
4,0,40,22.152557333989535,pi,0.4,0.0,-0.4,0.16000000000000003
4,0,40,22.152557333989535,alpha_2_k1,0.3,-279.86499420004014,-280.16499420004016,78492.42397510854
4,0,40,22.152557333989535,alpha_2_k2,0.1,77.90865144455975,77.80865144455976,6054.186239620991
4,0,40,22.152557333989535,gamma_k1,0.5,0.8012821870347229,0.30128218703472287,0.09077095622442573
4,0,40,22.152557333989535,gamma_k2,0.8,0.8275701112358764,0.027570111235876382,0.0007601110335585971
4,0,40,22.152557333989535,beta_sc_12_k1,0.55,5.274529333017945,4.724529333017945,22.32117741854699
4,0,40,22.152557333989535,beta_sc_12_k2,0.2,-94.96443643594304,-95.16443643594305,9056.269962170645
4,0,40,22.152557333989535,beta_sc_21_k1,0.5,-5.0326388962977,-5.5326388962977,30.610093156826228
4,0,40,22.152557333989535,beta_sc_21_k2,0.15,68.1597829011495,68.00978290114949,4625.330570261486
4,0,40,22.152557333989535,beta_dep_1_k1,0.25,0.43151241291913245,0.18151241291913245,0.03294675604372564
4,0,40,22.152557333989535,beta_dep_1_k2,0.4,0.2495632368162416,-0.15043676318375843,0.022631219717206216
4,0,40,22.152557333989535,beta_dep_2_k1,0.25,0.3768192130559129,0.12681921305591293,0.016083112800121036
4,0,40,22.152557333989535,beta_dep_2_k2,0.4,0.29405602461003566,-0.10594397538996436,0.011224125921429375
5,0,40,30.1751232080278,pi,0.4,9.98723346034585e-301,-0.4,0.16000000000000003
5,0,40,30.1751232080278,alpha_2_k1,0.3,1162.5497330312598,1162.24973303126,1350824.441931235
5,0,40,30.1751232080278,alpha_2_k2,0.1,4730.5192406098095,4730.419240609809,22376866.191931482
5,0,40,30.1751232080278,gamma_k1,0.5,0.36271014144508,-0.13728985855491999,0.018848505262029937
5,0,40,30.1751232080278,gamma_k2,0.8,0.7194379602180718,-0.08056203978192822,0.006490242253824985
5,0,40,30.1751232080278,beta_sc_12_k1,0.55,-14.039984827039333,-14.589984827039334,212.86765725323798
5,0,40,30.1751232080278,beta_sc_12_k2,0.2,6421.727406456395,6421.5274064563955,41236014.2318706
5,0,40,30.1751232080278,beta_sc_21_k1,0.5,-14.681205623750678,-15.181205623750678,230.4690041905992
5,0,40,30.1751232080278,beta_sc_21_k2,0.15,-5751.8210626314485,-5751.971062631448,33085171.105349552
5,0,40,30.1751232080278,beta_dep_1_k1,0.25,0.12154017433663102,-0.128459825663369,0.016501926809463156
5,0,40,30.1751232080278,beta_dep_1_k2,0.4,0.2429194808846903,-0.15708051911530974,0.024674289485535187
5,0,40,30.1751232080278,beta_dep_2_k1,0.25,0.0323453328770642,-0.2176546671229358,0.04737355412039599
5,0,40,30.1751232080278,beta_dep_2_k2,0.4,0.27690931191028295,-0.12309068808971707,0.015151317494400017
6,0,40,51.894454124965705,pi,0.4,0.004203688578498066,-0.39579631142150196,0.15665472013486656
6,0,40,51.894454124965705,alpha_2_k1,0.3,-7788795.042204366,-7788795.342204366,60665332882744.42
6,0,40,51.894454124965705,alpha_2_k2,0.1,-6616.219960175975,-6616.319960175975,43775689.81542302
6,0,40,51.894454124965705,gamma_k1,0.5,-0.5529235222691015,-1.0529235222691016,1.1086479437475711
6,0,40,51.894454124965705,gamma_k2,0.8,0.6629912785642529,-0.13700872143574716,0.018771389749458165
6,0,40,51.894454124965705,beta_sc_12_k1,0.55,19581.92856897741,19581.378568977412,383430386.66160786
6,0,40,51.894454124965705,beta_sc_12_k2,0.2,-32768.873222321294,-32769.07322232129,1073812159.8498542
6,0,40,51.894454124965705,beta_sc_21_k1,0.5,29329.297267508744,29328.797267508744,860178349.1586283
6,0,40,51.894454124965705,beta_sc_21_k2,0.15,32191.372075201685,32191.222075201684,1036274778.6949522
6,0,40,51.894454124965705,beta_dep_1_k1,0.25,-0.210080432366911,-0.460080432366911,0.21167400424692376
6,0,40,51.894454124965705,beta_dep_1_k2,0.4,0.323622823340927,-0.07637717665907301,0.005833473114411247
6,0,40,51.894454124965705,beta_dep_2_k1,0.25,-18.676987765933156,-18.926987765933156,358.23086589178337
6,0,40,51.894454124965705,beta_dep_2_k2,0.4,0.264795971602811,-0.13520402839718904,0.0182801292948279
7,0,40,246.01721958303824,pi,0.4,1.0,0.6,0.36
7,0,40,246.01721958303824,alpha_2_k1,0.3,-1652.2713342200445,-1652.5713342200445,2730992.014685818
7,0,40,246.01721958303824,alpha_2_k2,0.1,-39090381976.469604,-39090381976.5696,1.5280579630741177e+21
7,0,40,246.01721958303824,gamma_k1,0.5,0.6646717868518519,0.1646717868518519,0.027116797384981746
7,0,40,246.01721958303824,gamma_k2,0.8,5.976252193205577,5.176252193205578,26.793586767665552
7,0,40,246.01721958303824,beta_sc_12_k1,0.55,258.2213597395999,257.6713597395999,66394.5296300543
7,0,40,246.01721958303824,beta_sc_12_k2,0.2,-101306001.37754291,-101306001.57754292,1.0262905955629128e+16
7,0,40,246.01721958303824,beta_sc_21_k1,0.5,-3.6348384042127826,-4.134838404212783,17.09688862895291
7,0,40,246.01721958303824,beta_sc_21_k2,0.15,-13632080406.777218,-13632080406.927217,1.8583361622092893e+20
7,0,40,246.01721958303824,beta_dep_1_k1,0.25,0.321629253943418,0.07162925394341801,0.0051307500204906655
7,0,40,246.01721958303824,beta_dep_1_k2,0.4,-69557.51485686415,-69557.91485686414,4838303519.234761
7,0,40,246.01721958303824,beta_dep_2_k1,0.25,-1.8642493048843687,-2.1142493048843685,4.470050123204035
7,0,40,246.01721958303824,beta_dep_2_k2,0.4,-2.5398153326322577,-2.9398153326322576,8.64251418997971
8,0,40,33.61534975003451,pi,0.4,0.9999999736312867,0.5999999736312867,0.35999996835754466
8,0,40,33.61534975003451,alpha_2_k1,0.3,-2086.742779510279,-2087.042779510279,4355747.563505991
8,0,40,33.61534975003451,alpha_2_k2,0.1,-47137258.98813067,-47137259.08813067,2221921194341557.2
8,0,40,33.61534975003451,gamma_k1,0.5,0.6711451270669838,0.17114512706698382,0.029290654518774037
8,0,40,33.61534975003451,gamma_k2,0.8,2.028915196967345,1.228915196967345,1.5102325613372884
8,0,40,33.61534975003451,beta_sc_12_k1,0.55,2.932435941177844,2.382435941177844,5.67600101381596
8,0,40,33.61534975003451,beta_sc_12_k2,0.2,298091.9980380306,298091.79803803057,88858720057.546
8,0,40,33.61534975003451,beta_sc_21_k1,0.5,-1.6514270230615615,-2.1514270230615615,4.628638235559532
8,0,40,33.61534975003451,beta_sc_21_k2,0.15,34522837.62101656,34522837.47101656,1191826307050225.2
8,0,40,33.61534975003451,beta_dep_1_k1,0.25,0.3331079238900855,0.08310792389008548,0.00690692701332024
8,0,40,33.61534975003451,beta_dep_1_k2,0.4,1.1531790933306008,0.7531790933306007,0.5672787466303058
8,0,40,33.61534975003451,beta_dep_2_k1,0.25,0.12334096596072831,-0.1266590340392717,0.016042510903761388
8,0,40,33.61534975003451,beta_dep_2_k2,0.4,-31.114895123235442,-31.51489512323544,993.188614628529
9,0,40,39.95601570804138,pi,0.4,0.007630145904943356,-0.39236985409505665,0.15395410240257604
9,0,40,39.95601570804138,alpha_2_k1,0.3,1683.7436231874085,1683.4436231874085,2833982.4324503494
