parameter,true,mean_est,bias,std_dev,rmse,conv_rate
pi,0.4,0.5010939511224112,0.10109395112241124,0.5240282639839636,0.5073115869583332,0.0
alpha_2_k1,0.3,-848977.4666620835,-848977.7666620836,2448291.918925232,2472950.3101626756,0.0
gamma_k1,0.5,0.5180684692715798,0.018068469271579773,0.40532461747382525,0.38494897137034995,0.0
beta_sc_12_k1,0.55,379869.441621482,379868.8916214822,1194305.3529903085,1195001.7252644068,0.0
beta_sc_21_k1,0.5,2105.8475871512264,2105.3475871512264,9879.331556716379,9605.912828539636,0.0
beta_dep_1_k1,0.25,0.5688348916389689,0.31883489163896905,1.0524897587480602,1.0481492790480886,0.0
beta_dep_2_k1,0.25,-1.9372376828133706,-2.187237682813371,5.922844708905969,6.02960107986861,0.0
alpha_2_k2,0.1,-3913752094.9962997,-3913752095.0962996,12359816747.907461,12361473152.482233,0.0
gamma_k2,0.8,1.857721159777811,1.0577211597778111,1.8520464490725999,2.050815080988996,0.0
beta_sc_12_k2,0.2,-10103418.45472814,-10103418.65472814,32045462.92082538,32035910.98972688,0.0
beta_sc_21_k2,0.15,-1359753043.566905,-1359753043.716905,4312069941.832934,4310856156.824369,0.0
beta_dep_1_k2,0.4,-6957.866046992924,-6958.266046992925,21995.27626107749,21996.145716960084,0.0
beta_dep_2_k2,0.4,-3.414369491769765,-3.814369491769765,9.81763788768927,10.064632479338556,0.0
