replication,converged,em_iter,time_sec,parameter,true,estimate,bias,sq_error
1,0,40,3462.011107416998,pi,0.4,0.4679583405506047,0.06795834055060468,0.00461833605039196
1,0,40,3462.011107416998,alpha_2_k1,0.3,0.351131996005806,0.051131996005806035,0.0026144810155377643
1,0,40,3462.011107416998,alpha_2_k2,0.1,0.01608503376117096,-0.08391496623882905,0.007041721558863819
1,0,40,3462.011107416998,gamma_k1,0.5,0.5985561231005702,0.09855612310057016,0.009713309400614739
1,0,40,3462.011107416998,gamma_k2,0.8,0.8174608134615993,0.017460813461599223,0.0003048800067407646
1,0,40,3462.011107416998,beta_sc_12_k1,0.55,0.545076886586836,-0.004923113413164093,2.4237045678876204e-05
1,0,40,3462.011107416998,beta_sc_12_k2,0.2,0.10346655076562099,-0.09653344923437902,0.009318706821086433
1,0,40,3462.011107416998,beta_sc_21_k1,0.5,0.5865785611689138,0.08657856116891383,0.007495847254079353
1,0,40,3462.011107416998,beta_sc_21_k2,0.15,0.08126813242678292,-0.06873186757321707,0.004724069620102248
1,0,40,3462.011107416998,beta_dep_1_k1,0.25,0.28272354123488463,0.032723541234884634,0.001070830150951195
1,0,40,3462.011107416998,beta_dep_1_k2,0.4,0.42500210034424835,0.025002100344248324,0.0006251050216238621
1,0,40,3462.011107416998,beta_dep_2_k1,0.25,0.32074463529184094,0.07074463529184094,0.005004803422575587
1,0,40,3462.011107416998,beta_dep_2_k2,0.4,0.3546834548818618,-0.04531654511813821,0.0020535892614442558
2,0,40,2785.2952524169814,pi,0.4,0.4283509029408012,0.02835090294080117,0.0008037736975587285
2,0,40,2785.2952524169814,alpha_2_k1,0.3,0.28356021240841556,-0.01643978759158443,0.0002702666160564134
2,0,40,2785.2952524169814,alpha_2_k2,0.1,0.08476086892814395,-0.015239131071856052,0.0002322311158252086
2,0,40,2785.2952524169814,gamma_k1,0.5,0.5417572743105942,0.04175727431059417,0.001743669957850208
2,0,40,2785.2952524169814,gamma_k2,0.8,0.8171872702700058,0.017187270270005772,0.0002954022593342243
2,0,40,2785.2952524169814,beta_sc_12_k1,0.55,0.4388178192824638,-0.11118218071753627,0.012361477309106894
2,0,40,2785.2952524169814,beta_sc_12_k2,0.2,0.13461929490620603,-0.06538070509379398,0.004274636598561659
2,0,40,2785.2952524169814,beta_sc_21_k1,0.5,0.5019435397257541,0.0019435397257541176,3.7773466655843905e-06
