replikation,parameter,sand,estimat,bias,kv_fejl,konvergeret,n_iter,tid_sek
1,alpha_2,0.3,0.2805924009429617,-0.019407599057038316,0.00037665490115875453,1,244,65.51282233401434
1,gamma,-0.5,-0.5244113343443789,-0.02441133434437892,0.0005959132444730539,1,244,65.51282233401434
1,beta_sc_12,0.55,0.7244675348088981,0.1744675348088981,0.030438920702294068,1,244,65.51282233401434
1,beta_sc_21,0.5,0.36305927500885693,-0.13694072499114307,0.018752762161099876,1,244,65.51282233401434
1,beta_dep_1,0.25,0.272167845924151,0.022167845924150997,0.000491413392916898,1,244,65.51282233401434
1,beta_dep_2,0.25,0.19906552464919341,-0.050934475350806585,0.0025943207792619234,1,244,65.51282233401434
2,alpha_2,0.3,0.3421682865907458,0.042168286590745785,0.0017781643939992708,1,269,72.24902041599853
2,gamma,-0.5,-0.5066727161584044,-0.006672716158404368,4.452514093063075e-05,1,269,72.24902041599853
2,beta_sc_12,0.55,0.5573990297782156,0.0073990297782156045,5.474564165892126e-05,1,269,72.24902041599853
2,beta_sc_21,0.5,0.41297403075612005,-0.08702596924387995,0.007573519322836739,1,269,72.24902041599853
2,beta_dep_1,0.25,0.21695731837825422,-0.033042681621745784,0.0010918188087560565,1,269,72.24902041599853
2,beta_dep_2,0.25,0.24802895891852672,-0.0019710410814732793,3.885002944855354e-06,1,269,72.24902041599853
3,alpha_2,0.3,0.28249515317028523,-0.01750484682971476,0.0003064196625317749,1,255,68.80756695801392
3,gamma,-0.5,-0.5331181087136467,-0.03311810871364673,0.0010968091247689235,1,255,68.80756695801392
3,beta_sc_12,0.55,0.5757190636033644,0.0257190636033644,0.0006614702326339034,1,255,68.80756695801392
3,beta_sc_21,0.5,0.5146812592246202,0.014681259224620158,0.00021553937242049448,1,255,68.80756695801392
3,beta_dep_1,0.25,0.23469451643045985,-0.015305483569540146,0.00023425782729746337,1,255,68.80756695801392
3,beta_dep_2,0.25,0.29680536536510305,0.04680536536510305,0.0021907422269607877,1,255,68.80756695801392
4,alpha_2,0.3,0.2639696804354026,-0.0360303195645974,0.0012981839279270102,1,252,66.23810454097111
4,gamma,-0.5,-0.49512383943731475,0.00487616056268525,2.3776941833086934e-05,1,252,66.23810454097111
4,beta_sc_12,0.55,0.5613970896585426,0.01139708965854258,0.00012989365268485824,1,252,66.23810454097111
4,beta_sc_21,0.5,0.5192812547288985,0.019281254728898523,0.00037176678392067164,1,252,66.23810454097111
4,beta_dep_1,0.25,0.3097219919378036,0.05972199193780359,0.0035667163210190765,1,252,66.23810454097111
4,beta_dep_2,0.25,0.28221052357710386,0.032210523577103856,0.0010375178291111634,1,252,66.23810454097111
5,alpha_2,0.3,0.3805896052709261,0.08058960527092612,0.006494684477723683,1,344,92.65595858299639
