rep,param,true,estimate,bias,sq_error,converged
1,alpha_2,0.5,0.5116247653599921,0.011624765359992129,0.00013513516967487293,1
1,gamma,0.05,0.04866016476783591,-0.001339835232164091,1.7951584493482037e-06,1
1,beta_sc_12,0.3,0.3165177189587982,0.016517718958798222,0.00027283503960184223,1
1,beta_sc_21,0.25,0.22703585734470816,-0.02296414265529184,0.0005273518478925943,1
1,beta_dep_1,0.275,0.26528417105798285,-0.009715828942017168,9.439733203053845e-05,1
1,beta_dep_2,0.275,0.27089581375429345,-0.004104186245706576,1.6844344739447038e-05,1
2,alpha_2,0.5,0.510588030202678,0.010588030202677956,0.0001121063835728206,1
2,gamma,0.05,0.050475357879903385,0.00047535787990338196,2.259651139862381e-07,1
2,beta_sc_12,0.3,0.3427177889880783,0.04271778898807832,0.0018248094960299855,1
2,beta_sc_21,0.25,0.18497085684202716,-0.06502914315797284,0.004228789459860126,1
2,beta_dep_1,0.275,0.25799714388652256,-0.01700285611347746,0.00028909711601561784,1
2,beta_dep_2,0.275,0.2733822004113712,-0.0016177995886288432,2.6172755089676543e-06,1
3,alpha_2,0.5,0.48777296746121757,-0.012227032538782434,0.0001495003247044444,1
3,gamma,0.05,0.04817112766674635,-0.001828872333253656,3.344774011340672e-06,1
3,beta_sc_12,0.3,0.31910519240937324,0.01910519240937325,0.00036500837699917325,1
3,beta_sc_21,0.25,0.24615709899155713,-0.003842901008442867,1.4767888160691205e-05,1
3,beta_dep_1,0.275,0.28463077588444097,0.009630775884440945,9.275184413632927e-05,1
3,beta_dep_2,0.275,0.2723995748618252,-0.0026004251381748222,6.7622108992515434e-06,1
4,alpha_2,0.5,0.5077838342382184,0.007783834238218379,6.058807544806069e-05,1
4,gamma,0.05,0.05243491367194944,0.0024349136719494374,5.928804589846292e-06,1
4,beta_sc_12,0.3,0.3491246896238708,0.04912468962387079,0.0024132351306416383,1
4,beta_sc_21,0.25,0.2140813751109149,-0.03591862488908509,0.0012901476139228032,1
4,beta_dep_1,0.275,0.2810324456711112,0.006032445671111164,3.6390400774907824e-05,1
4,beta_dep_2,0.275,0.28905887755829035,0.014058877558290328,0.00019765203819899942,1
5,alpha_2,0.5,0.4916682388031878,-0.008331761196812226,6.94182446407059e-05,1
5,gamma,0.05,0.048496658380966604,-0.0015033416190333992,2.2600360235179622e-06,1
5,beta_sc_12,0.3,0.2836803036623802,-0.016319696337619816,0.00026633248855212165,1
5,beta_sc_21,0.25,0.27770801377458953,0.027708013774589535,0.0007677340273328434,1
5,beta_dep_1,0.275,0.2780982352714203,0.00309823527142028,9.599061797072695e-06,1
5,beta_dep_2,0.275,0.2716875769189407,-0.0033124230810593347,1.0972146667934616e-05,1
6,alpha_2,0.5,0.06137892492359745,-0.4386210750764026,0.1923884475011792,1
6,gamma,0.05,0.04814022821331303,-0.0018597717866869756,3.4587510985568654e-06,1
6,beta_sc_12,0.3,-8.481749535370124,-8.781749535370125,77.11912490197341,1
6,beta_sc_21,0.25,9.04941204833831,8.79941204833831,77.42965239644141,1
6,beta_dep_1,0.275,0.2702416761039133,-0.004758323896086714,2.264164630006984e-05,1
6,beta_dep_2,0.275,0.27196962947399855,-0.003030370526001469,9.183145524858421e-06,1
7,alpha_2,0.5,0.5025378375903856,0.0025378375903856165,6.440619635174272e-06,1
7,gamma,0.05,0.05185882853388375,0.0018588285338837496,3.4552435183804098e-06,1
7,beta_sc_12,0.3,0.30027529589002094,0.00027529589002095456,7.57878270624295e-08,1
7,beta_sc_21,0.25,0.24532018098058006,-0.00467981901941994,2.1900706054524603e-05,1
7,beta_dep_1,0.275,0.2819673050921795,0.0069673050921794655,4.854334024750991e-05,1
7,beta_dep_2,0.275,0.2823640838427017,0.007364083842701652,5.4229730842339526e-05,1
8,alpha_2,0.5,0.526602193546728,0.026602193546727992,0.0007076767014975765,1
8,gamma,0.05,0.05151192419743073,0.0015119241974307293,2.2859147787765548e-06,1
8,beta_sc_12,0.3,0.7148836708340165,0.4148836708340165,0.17212846032470855,1
8,beta_sc_21,0.25,-0.1570459596443461,-0.4070459596443461,0.16568641326278663,1
8,beta_dep_1,0.275,0.2743270559439446,-0.0006729440560554467,4.5285370258035623e-07,1
8,beta_dep_2,0.275,0.2861459792584137,0.011145979258413652,0.00012423285362898735,1
9,alpha_2,0.5,0.4996140488410534,-0.0003859511589465736,1.4895829709220332e-07,1
9,gamma,0.05,0.05056913788328546,0.000569137883285456,3.2391793019064934e-07,1
9,beta_sc_12,0.3,0.5353180743897267,0.23531807438972668,0.05537459613448894,1
9,beta_sc_21,0.25,0.01352483818182005,-0.23647516181817996,0.05592050215693439,1
9,beta_dep_1,0.275,0.28737908577062676,0.012379085770626741,0.00015324176451653345,1
